language,difficulty
Danish (24 weeks),Category I Languages: 24-30 weeks (600-750 class hours)
Italian (24 weeks),Category I Languages: 24-30 weeks (600-750 class hours)
Romanian (24 weeks),Category I Languages: 24-30 weeks (600-750 class hours)
Dutch (24 weeks),Category I Languages: 24-30 weeks (600-750 class hours)
Norwegian (24 weeks),Category I Languages: 24-30 weeks (600-750 class hours)
Spanish (24 weeks),Category I Languages: 24-30 weeks (600-750 class hours)
French (30 weeks),Category I Languages: 24-30 weeks (600-750 class hours)
Portuguese (24 weeks),Category I Languages: 24-30 weeks (600-750 class hours)
Swedish (24 weeks),Category I Languages: 24-30 weeks (600-750 class hours)
German,Category II Languages: Approximately 36 weeks (900 class hours)
Malay,Category II Languages: Approximately 36 weeks (900 class hours)
Haitian Creole,Category II Languages: Approximately 36 weeks (900 class hours)
Swahili,Category II Languages: Approximately 36 weeks (900 class hours)
Indonesian,Category II Languages: Approximately 36 weeks (900 class hours)
Albanian,Category III Languages: Approximately 44 weeks (1100 class hours)
Azerbaijani,Category III Languages: Approximately 44 weeks (1100 class hours)
Burmese,Category III Languages: Approximately 44 weeks (1100 class hours)
Estonian,Category III Languages: Approximately 44 weeks (1100 class hours)
Georgian,Category III Languages: Approximately 44 weeks (1100 class hours)
Hebrew,Category III Languages: Approximately 44 weeks (1100 class hours)
Icelandic,Category III Languages: Approximately 44 weeks (1100 class hours)
Kurdish,Category III Languages: Approximately 44 weeks (1100 class hours)
Latvian,Category III Languages: Approximately 44 weeks (1100 class hours)
Mongolian,Category III Languages: Approximately 44 weeks (1100 class hours)
Russian,Category III Languages: Approximately 44 weeks (1100 class hours)
Slovak,Category III Languages: Approximately 44 weeks (1100 class hours)
Tagalog,Category III Languages: Approximately 44 weeks (1100 class hours)
Telugu,Category III Languages: Approximately 44 weeks (1100 class hours)
Turkish,Category III Languages: Approximately 44 weeks (1100 class hours)
Urdu,Category III Languages: Approximately 44 weeks (1100 class hours)
Amharic,Category III Languages: Approximately 44 weeks (1100 class hours)
Bengali,Category III Languages: Approximately 44 weeks (1100 class hours)
Czech,Category III Languages: Approximately 44 weeks (1100 class hours)
Farsi,Category III Languages: Approximately 44 weeks (1100 class hours)
Greek,Category III Languages: Approximately 44 weeks (1100 class hours)
Hindi,Category III Languages: Approximately 44 weeks (1100 class hours)
Kazakh,Category III Languages: Approximately 44 weeks (1100 class hours)
Kyrgyz,Category III Languages: Approximately 44 weeks (1100 class hours)
Lithuanian,Category III Languages: Approximately 44 weeks (1100 class hours)
Nepali,Category III Languages: Approximately 44 weeks (1100 class hours)
Serbo-Croatian,Category III Languages: Approximately 44 weeks (1100 class hours)
Slovenian,Category III Languages: Approximately 44 weeks (1100 class hours)
Tajiki,Category III Languages: Approximately 44 weeks (1100 class hours)
Thai,Category III Languages: Approximately 44 weeks (1100 class hours)
Turkmen,Category III Languages: Approximately 44 weeks (1100 class hours)
Uzbek,Category III Languages: Approximately 44 weeks (1100 class hours)
Armenian,Category III Languages: Approximately 44 weeks (1100 class hours)
Bulgarian,Category III Languages: Approximately 44 weeks (1100 class hours)
Dari,Category III Languages: Approximately 44 weeks (1100 class hours)
Finnish,Category III Languages: Approximately 44 weeks (1100 class hours)
Hausa,Category III Languages: Approximately 44 weeks (1100 class hours)
Hungarian,Category III Languages: Approximately 44 weeks (1100 class hours)
Khmer,Category III Languages: Approximately 44 weeks (1100 class hours)
Lao,Category III Languages: Approximately 44 weeks (1100 class hours)
Macedonian,Category III Languages: Approximately 44 weeks (1100 class hours)
Polish,Category III Languages: Approximately 44 weeks (1100 class hours)
Sinhala,Category III Languages: Approximately 44 weeks (1100 class hours)
Somali,Category III Languages: Approximately 44 weeks (1100 class hours)
Tamil,Category III Languages: Approximately 44 weeks (1100 class hours)
Tibetan,Category III Languages: Approximately 44 weeks (1100 class hours)
Ukrainian,Category III Languages: Approximately 44 weeks (1100 class hours)
Vietnamese,Category III Languages: Approximately 44 weeks (1100 class hours)
Arabic,Category IV Languages: 88 weeks (2200 class hours)
Japanese,Category IV Languages: 88 weeks (2200 class hours)
Chinese – Cantonese,Category IV Languages: 88 weeks (2200 class hours)
Korean,Category IV Languages: 88 weeks (2200 class hours)
Chinese – Mandarin,Category IV Languages: 88 weeks (2200 class hours)
